sector,destination,origin,export_value
alumninum,BRA,USA,74683571.0
alumninum,BRA,CAN,1595417.0
alumninum,BRA,MEX,31338984.0
alumninum,BRA,IND,5237906.0
alumninum,BRA,CHN,4728143.0
alumninum,BRA,RUS,92281.0
alumninum,BRA,EU,65786480.0
alumninum,BRA,ROW,819374172.0
alumninum,BRA,GBR,2454903.0
chemicals,BRA,USA,0.0
chemicals,BRA,CAN,0.0
chemicals,BRA,MEX,0.0
chemicals,BRA,IND,0.0
chemicals,BRA,CHN,3344.0
chemicals,BRA,RUS,0.0
chemicals,BRA,EU,0.0
chemicals,BRA,ROW,8945.0
chemicals,BRA,GBR,0.0
crude,BRA,USA,3237287424.0
crude,BRA,CAN,0.0
crude,BRA,MEX,0.0
crude,BRA,IND,2045899776.0
crude,BRA,CHN,14794311680.0
crude,BRA,RUS,0.0
crude,BRA,EU,4286239995.0
crude,BRA,ROW,6783454988.0
crude,BRA,GBR,0.0
fertilizer,BRA,USA,1679528.0
fertilizer,BRA,CAN,8521.0
fertilizer,BRA,MEX,317091.0
fertilizer,BRA,IND,245213.0
fertilizer,BRA,CHN,33177.0
fertilizer,BRA,RUS,0.0
fertilizer,BRA,EU,407174.0
fertilizer,BRA,ROW,236423540.0
fertilizer,BRA,GBR,118987.0
gas,BRA,USA,2193124.0
gas,BRA,CAN,0.0
gas,BRA,MEX,0.0
gas,BRA,IND,0.0
gas,BRA,CHN,0.0
gas,BRA,RUS,0.0
gas,BRA,EU,21167642.0
gas,BRA,ROW,16054627.0
gas,BRA,GBR,0.0
iron/steel,BRA,USA,5578274205.0
iron/steel,BRA,CAN,611620699.0
iron/steel,BRA,MEX,474293576.0
iron/steel,BRA,IND,33450510.0
iron/steel,BRA,CHN,1127514112.0
iron/steel,BRA,RUS,1323666.0
iron/steel,BRA,EU,1479545728.0
iron/steel,BRA,ROW,6157483441.0
iron/steel,BRA,GBR,52172286.0
refined,BRA,USA,978266688.0
refined,BRA,CAN,3746154.0
refined,BRA,MEX,6349252.0
refined,BRA,IND,9165579.0
refined,BRA,CHN,18964208.0
refined,BRA,RUS,452757.0
refined,BRA,EU,374498043.0
refined,BRA,ROW,4832468486.0
refined,BRA,GBR,20501812.0
alumninum,CAN,USA,10188970545.0
alumninum,CAN,MEX,343401180.0
alumninum,CAN,BRA,10736806.0
alumninum,CAN,IND,12644784.0
alumninum,CAN,CHN,26630510.0
alumninum,CAN,RUS,1084821.0
alumninum,CAN,EU,561733887.0
alumninum,CAN,ROW,78574150.0
alumninum,CAN,GBR,30399347.0
chemicals,CAN,USA,57336536.0
chemicals,CAN,MEX,0.0
chemicals,CAN,BRA,0.0
chemicals,CAN,IND,0.0
chemicals,CAN,CHN,0.0
chemicals,CAN,RUS,0.0
chemicals,CAN,EU,0.0
chemicals,CAN,ROW,294068.0
chemicals,CAN,GBR,0.0
crude,CAN,USA,79741304832.0
crude,CAN,MEX,0.0
crude,CAN,BRA,0.0
crude,CAN,IND,204920384.0
crude,CAN,CHN,775680256.0
crude,CAN,RUS,0.0
crude,CAN,EU,1316429611.0
crude,CAN,ROW,443386343.0
crude,CAN,GBR,328219936.0
fertilizer,CAN,USA,1500344663.0
fertilizer,CAN,MEX,2571268.0
fertilizer,CAN,BRA,5213838.0
fertilizer,CAN,IND,13932.0
fertilizer,CAN,CHN,2454891.0
fertilizer,CAN,RUS,28449.0
fertilizer,CAN,EU,6708621.0
fertilizer,CAN,ROW,20498421.0
fertilizer,CAN,GBR,2048705.0
gas,CAN,USA,13298836702.0
gas,CAN,MEX,572715456.0
gas,CAN,BRA,0.0
gas,CAN,IND,90255.0
gas,CAN,CHN,47748409.0
gas,CAN,RUS,0.0
gas,CAN,EU,1278089.0
gas,CAN,ROW,1097395107.0
gas,CAN,GBR,0.0
iron/steel,CAN,USA,11845297551.0
iron/steel,CAN,MEX,388936137.0
iron/steel,CAN,BRA,11425557.0
iron/steel,CAN,IND,19811091.0
iron/steel,CAN,CHN,395850179.0
iron/steel,CAN,RUS,15254344.0
iron/steel,CAN,EU,1719957982.0
iron/steel,CAN,ROW,1172202614.0
iron/steel,CAN,GBR,57646844.0
refined,CAN,USA,10452909056.0
refined,CAN,MEX,113086248.0
refined,CAN,BRA,2049441.0
refined,CAN,IND,570127.0
refined,CAN,CHN,30498654.0
refined,CAN,RUS,13354075.0
refined,CAN,EU,169196339.0
refined,CAN,ROW,781616204.0
refined,CAN,GBR,2480710.0
alumninum,CHN,USA,2668006035.0
alumninum,CHN,CAN,1070593733.0
alumninum,CHN,MEX,1887978396.0
alumninum,CHN,BRA,375483020.0
alumninum,CHN,IND,902564886.0
alumninum,CHN,RUS,387986328.0
alumninum,CHN,EU,3399319112.0
alumninum,CHN,ROW,17942049259.0
alumninum,CHN,GBR,740290941.0
chemicals,CHN,USA,0.0
chemicals,CHN,CAN,0.0
chemicals,CHN,MEX,0.0
chemicals,CHN,BRA,0.0
chemicals,CHN,IND,0.0
chemicals,CHN,RUS,0.0
chemicals,CHN,EU,0.0
chemicals,CHN,ROW,708930.0
chemicals,CHN,GBR,3223.0
crude,CHN,USA,0.0
crude,CHN,CAN,0.0
crude,CHN,MEX,0.0
crude,CHN,BRA,0.0
crude,CHN,IND,64772260.0
crude,CHN,RUS,0.0
crude,CHN,EU,15280.0
crude,CHN,ROW,812918980.0
crude,CHN,GBR,0.0
fertilizer,CHN,USA,9652127.0
fertilizer,CHN,CAN,6870759.0
fertilizer,CHN,MEX,268010967.0
fertilizer,CHN,BRA,1917795660.0
fertilizer,CHN,IND,2425690055.0
fertilizer,CHN,RUS,1349491.0
fertilizer,CHN,EU,42440920.0
fertilizer,CHN,ROW,6541950864.0
fertilizer,CHN,GBR,1505787.0
gas,CHN,USA,2078623.0
gas,CHN,CAN,699064.0
gas,CHN,MEX,466511.0
gas,CHN,BRA,432968.0
gas,CHN,IND,492524.0
gas,CHN,RUS,361625.0
gas,CHN,EU,2854319.0
gas,CHN,ROW,1899066683.0
gas,CHN,GBR,4239699.0
iron/steel,CHN,USA,7313318091.0
iron/steel,CHN,CAN,1985184545.0
iron/steel,CHN,MEX,1944681460.0
iron/steel,CHN,BRA,3095556790.0
iron/steel,CHN,IND,3203774586.0
iron/steel,CHN,RUS,2698086858.0
iron/steel,CHN,EU,10769878051.0
iron/steel,CHN,ROW,87317593850.0
iron/steel,CHN,GBR,1463356333.0
refined,CHN,USA,176859872.0
refined,CHN,CAN,95235200.0
refined,CHN,MEX,147296880.0
refined,CHN,BRA,19549776.0
refined,CHN,IND,34112660.0
refined,CHN,RUS,64904856.0
refined,CHN,EU,1028755991.0
refined,CHN,ROW,27224139561.0
refined,CHN,GBR,150201104.0
alumninum,EU,USA,2410871342.0
alumninum,EU,CAN,395785163.0
alumninum,EU,MEX,413463615.0
alumninum,EU,BRA,221672076.0
alumninum,EU,IND,195508309.0
alumninum,EU,CHN,837963065.0
alumninum,EU,RUS,340406375.0
alumninum,EU,ROW,7507948495.0
alumninum,EU,GBR,3189769480.0
chemicals,EU,USA,98490.0
chemicals,EU,CAN,135739.0
chemicals,EU,MEX,0.0
chemicals,EU,BRA,6606.0
chemicals,EU,IND,0.0
chemicals,EU,CHN,186863.0
chemicals,EU,RUS,42939.0
chemicals,EU,ROW,2828297.0
chemicals,EU,GBR,3093739.0
crude,EU,USA,58457118.0
crude,EU,CAN,0.0
crude,EU,MEX,1480.0
crude,EU,BRA,1146.0
crude,EU,IND,11779229.0
crude,EU,CHN,104646608.0
crude,EU,RUS,0.0
crude,EU,ROW,434785052.0
crude,EU,GBR,84657029.0
fertilizer,EU,USA,408184859.0
fertilizer,EU,CAN,163441303.0
fertilizer,EU,MEX,160197751.0
fertilizer,EU,BRA,614470269.0
fertilizer,EU,IND,68098241.0
fertilizer,EU,CHN,240904475.0
fertilizer,EU,RUS,56032403.0
fertilizer,EU,ROW,3126075158.0
fertilizer,EU,GBR,717117492.0
gas,EU,USA,123089211.0
gas,EU,CAN,645680.0
gas,EU,MEX,32452.0
gas,EU,BRA,35995705.0
gas,EU,IND,349793630.0
gas,EU,CHN,370874975.0
gas,EU,RUS,23888924.0
gas,EU,ROW,4287823711.0
gas,EU,GBR,1537040817.0
iron/steel,EU,USA,9039939564.0
iron/steel,EU,CAN,1729498052.0
iron/steel,EU,MEX,2141608861.0
iron/steel,EU,BRA,1356569949.0
iron/steel,EU,IND,1344494880.0
iron/steel,EU,CHN,5034148283.0
iron/steel,EU,RUS,2106802613.0
iron/steel,EU,ROW,33230325029.0
iron/steel,EU,GBR,9006280856.0
refined,EU,USA,12185150347.0
refined,EU,CAN,1663965171.0
refined,EU,MEX,856786959.0
refined,EU,BRA,1220594195.0
refined,EU,IND,264772250.0
refined,EU,CHN,813878520.0
refined,EU,RUS,691461886.0
refined,EU,ROW,48197024891.0
refined,EU,GBR,6055695724.0
alumninum,GBR,USA,231094511.0
alumninum,GBR,CAN,12164483.0
alumninum,GBR,MEX,5465056.0
alumninum,GBR,BRA,28238728.0
alumninum,GBR,IND,44402281.0
alumninum,GBR,CHN,36770874.0
alumninum,GBR,RUS,4162316.0
alumninum,GBR,EU,1509219932.0
alumninum,GBR,ROW,301900892.0
chemicals,GBR,USA,4158.0
chemicals,GBR,CAN,0.0
chemicals,GBR,MEX,0.0
chemicals,GBR,BRA,0.0
chemicals,GBR,IND,0.0
chemicals,GBR,CHN,0.0
chemicals,GBR,RUS,0.0
chemicals,GBR,EU,1581088.0
chemicals,GBR,ROW,117067.0
crude,GBR,USA,1053576640.0
crude,GBR,CAN,239993440.0
crude,GBR,MEX,0.0
crude,GBR,BRA,0.0
crude,GBR,IND,110036080.0
crude,GBR,CHN,3165846016.0
crude,GBR,RUS,0.0
crude,GBR,EU,12851871479.0
crude,GBR,ROW,1930908328.0
fertilizer,GBR,USA,14274539.0
fertilizer,GBR,CAN,4893142.0
fertilizer,GBR,MEX,4081415.0
fertilizer,GBR,BRA,5132947.0
fertilizer,GBR,IND,5059593.0
fertilizer,GBR,CHN,7928935.0
fertilizer,GBR,RUS,1942834.0
fertilizer,GBR,EU,232736053.0
fertilizer,GBR,ROW,94465110.0
gas,GBR,USA,1454403.0
gas,GBR,CAN,285962.0
gas,GBR,MEX,0.0
gas,GBR,BRA,28184354.0
gas,GBR,IND,105400851.0
gas,GBR,CHN,10198.0
gas,GBR,RUS,1730.0
gas,GBR,EU,5347686506.0
gas,GBR,ROW,241652354.0
iron/steel,GBR,USA,827008686.0
iron/steel,GBR,CAN,155744828.0
iron/steel,GBR,MEX,73812386.0
iron/steel,GBR,BRA,102317831.0
iron/steel,GBR,IND,146119042.0
iron/steel,GBR,CHN,193846378.0
iron/steel,GBR,RUS,56317026.0
iron/steel,GBR,EU,5812755446.0
iron/steel,GBR,ROW,1775651854.0
refined,GBR,USA,1820398336.0
refined,GBR,CAN,223962944.0
refined,GBR,MEX,633677.0
refined,GBR,BRA,18648340.0
refined,GBR,IND,2374985.0
refined,GBR,CHN,10739686.0
refined,GBR,RUS,24244944.0
refined,GBR,EU,5771840690.0
refined,GBR,ROW,1687460154.0
alumninum,IND,USA,686858113.0
alumninum,IND,CAN,64258486.0
alumninum,IND,MEX,439218445.0
alumninum,IND,BRA,240888847.0
alumninum,IND,CHN,1707464858.0
alumninum,IND,RUS,3272944.0
alumninum,IND,EU,1351536609.0
alumninum,IND,ROW,4752437484.0
alumninum,IND,GBR,71750858.0
chemicals,IND,USA,0.0
chemicals,IND,CAN,0.0
chemicals,IND,MEX,0.0
chemicals,IND,BRA,0.0
chemicals,IND,CHN,0.0
chemicals,IND,RUS,0.0
chemicals,IND,EU,0.0
chemicals,IND,ROW,6757.0
chemicals,IND,GBR,0.0
crude,IND,USA,0.0
crude,IND,CAN,0.0
crude,IND,MEX,0.0
crude,IND,BRA,0.0
crude,IND,CHN,0.0
crude,IND,RUS,0.0
crude,IND,EU,0.0
crude,IND,ROW,36680341.0
crude,IND,GBR,0.0
fertilizer,IND,USA,4687200.0
fertilizer,IND,CAN,955167.0
fertilizer,IND,MEX,60601.0
fertilizer,IND,BRA,12136.0
fertilizer,IND,CHN,2319943.0
fertilizer,IND,RUS,0.0
fertilizer,IND,EU,935891.0
fertilizer,IND,ROW,84780007.0
fertilizer,IND,GBR,123869.0
gas,IND,USA,0.0
gas,IND,CAN,1868.0
gas,IND,MEX,0.0
gas,IND,BRA,0.0
gas,IND,CHN,17160063.0
gas,IND,RUS,0.0
gas,IND,EU,161080.0
gas,IND,ROW,440681714.0
gas,IND,GBR,370629.0
iron/steel,IND,USA,2389767058.0
iron/steel,IND,CAN,336640107.0
iron/steel,IND,MEX,265680128.0
iron/steel,IND,BRA,325123363.0
iron/steel,IND,CHN,3047207738.0
iron/steel,IND,RUS,233647431.0
iron/steel,IND,EU,6570620543.0
iron/steel,IND,ROW,14452544426.0
iron/steel,IND,GBR,668429023.0
refined,IND,USA,3700168448.0
refined,IND,CAN,14445181.0
refined,IND,MEX,2261258.0
refined,IND,BRA,1159151744.0
refined,IND,CHN,1212292736.0
refined,IND,RUS,5650253.0
refined,IND,EU,5299783157.0
refined,IND,ROW,34954506513.0
refined,IND,GBR,274781280.0
alumninum,MEX,USA,1366808208.0
alumninum,MEX,CAN,39798283.0
alumninum,MEX,BRA,2929587.0
alumninum,MEX,IND,132454.0
alumninum,MEX,CHN,8268294.0
alumninum,MEX,RUS,1019760.0
alumninum,MEX,EU,11490687.0
alumninum,MEX,ROW,79981142.0
alumninum,MEX,GBR,2638936.0
chemicals,MEX,USA,0.0
chemicals,MEX,CAN,0.0
chemicals,MEX,BRA,0.0
chemicals,MEX,IND,0.0
chemicals,MEX,CHN,0.0
chemicals,MEX,RUS,0.0
chemicals,MEX,EU,0.0
chemicals,MEX,ROW,24362.0
chemicals,MEX,GBR,0.0
crude,MEX,USA,12623624192.0
crude,MEX,CAN,0.0
crude,MEX,BRA,0.0
crude,MEX,IND,2373156352.0
crude,MEX,CHN,159888544.0
crude,MEX,RUS,0.0
crude,MEX,EU,2637389824.0
crude,MEX,ROW,5474963845.0
crude,MEX,GBR,0.0
fertilizer,MEX,USA,142873038.0
fertilizer,MEX,CAN,5752733.0
fertilizer,MEX,BRA,7924140.0
fertilizer,MEX,IND,0.0
fertilizer,MEX,CHN,5727654.0
fertilizer,MEX,RUS,0.0
fertilizer,MEX,EU,2727146.0
fertilizer,MEX,ROW,90433034.0
fertilizer,MEX,GBR,0.0
gas,MEX,USA,20152702.0
gas,MEX,CAN,28030.0
gas,MEX,BRA,0.0
gas,MEX,IND,0.0
gas,MEX,CHN,2783765.0
gas,MEX,RUS,0.0
gas,MEX,EU,0.0
gas,MEX,ROW,60825.0
gas,MEX,GBR,0.0
iron/steel,MEX,USA,8126403737.0
iron/steel,MEX,CAN,549180929.0
iron/steel,MEX,BRA,35577252.0
iron/steel,MEX,IND,2366722.0
iron/steel,MEX,CHN,49058805.0
iron/steel,MEX,RUS,6005582.0
iron/steel,MEX,EU,80953872.0
iron/steel,MEX,ROW,1115592446.0
iron/steel,MEX,GBR,15831314.0
refined,MEX,USA,2868865792.0
refined,MEX,CAN,384992.0
refined,MEX,BRA,7023290.0
refined,MEX,IND,64538.0
refined,MEX,CHN,298513.0
refined,MEX,RUS,0.0
refined,MEX,EU,7851407.0
refined,MEX,ROW,480700770.0
refined,MEX,GBR,4459.0
alumninum,ROW,USA,7881558213.0
alumninum,ROW,CAN,544552890.0
alumninum,ROW,MEX,911580727.0
alumninum,ROW,BRA,1286318981.0
alumninum,ROW,IND,1166437823.0
alumninum,ROW,CHN,6432831618.0
alumninum,ROW,RUS,313237238.0
alumninum,ROW,EU,19921688318.0
alumninum,ROW,GBR,1096537439.0
chemicals,ROW,USA,99784.0
chemicals,ROW,CAN,0.0
chemicals,ROW,MEX,0.0
chemicals,ROW,BRA,0.0
chemicals,ROW,IND,0.0
chemicals,ROW,CHN,18379.0
chemicals,ROW,RUS,0.0
chemicals,ROW,EU,704972.0
chemicals,ROW,GBR,10066.0
crude,ROW,USA,31587763433.0
crude,ROW,CAN,3907999696.0
crude,ROW,MEX,0.0
crude,ROW,BRA,2930457650.0
crude,ROW,IND,76077634679.0
crude,ROW,CHN,153734867665.0
crude,ROW,RUS,13555192.0
crude,ROW,EU,117879230784.0
crude,ROW,GBR,16299952217.0
fertilizer,ROW,USA,4390294461.0
fertilizer,ROW,CAN,237522877.0
fertilizer,ROW,MEX,510266616.0
fertilizer,ROW,BRA,5569997725.0
fertilizer,ROW,IND,5138424810.0
fertilizer,ROW,CHN,817324477.0
fertilizer,ROW,RUS,64082562.0
fertilizer,ROW,EU,4496630723.0
fertilizer,ROW,GBR,252061783.0
gas,ROW,USA,1334596875.0
gas,ROW,CAN,134445230.0
gas,ROW,MEX,48558599.0
gas,ROW,BRA,1834665656.0
gas,ROW,IND,19956551587.0
gas,ROW,CHN,49825674274.0
gas,ROW,RUS,298767184.0
gas,ROW,EU,61399607575.0
gas,ROW,GBR,23287262477.0
iron/steel,ROW,USA,21548352740.0
iron/steel,ROW,CAN,3820452934.0
iron/steel,ROW,MEX,6317598017.0
iron/steel,ROW,BRA,1769233043.0
iron/steel,ROW,IND,6600300879.0
iron/steel,ROW,CHN,43161531889.0
iron/steel,ROW,RUS,5219625758.0
iron/steel,ROW,EU,41932106056.0
iron/steel,ROW,GBR,3505554345.0
refined,ROW,USA,16702407672.0
refined,ROW,CAN,305107340.0
refined,ROW,MEX,275566925.0
refined,ROW,BRA,1851964448.0
refined,ROW,IND,6635203019.0
refined,ROW,CHN,14471152976.0
refined,ROW,RUS,594679092.0
refined,ROW,EU,22294191040.0
refined,ROW,GBR,2505184361.0
alumninum,RUS,USA,660109780.0
alumninum,RUS,CAN,22192332.0
alumninum,RUS,MEX,129501752.0
alumninum,RUS,BRA,71024105.0
alumninum,RUS,IND,55622602.0
alumninum,RUS,CHN,775974472.0
alumninum,RUS,EU,2482703449.0
alumninum,RUS,ROW,4709717367.0
alumninum,RUS,GBR,35587788.0
chemicals,RUS,USA,0.0
chemicals,RUS,CAN,0.0
chemicals,RUS,MEX,0.0
chemicals,RUS,BRA,0.0
chemicals,RUS,IND,0.0
chemicals,RUS,CHN,0.0
chemicals,RUS,EU,0.0
chemicals,RUS,ROW,234619.0
chemicals,RUS,GBR,0.0
crude,RUS,USA,4297534976.0
crude,RUS,CAN,0.0
crude,RUS,MEX,0.0
crude,RUS,BRA,15689950.0
crude,RUS,IND,1514600832.0
crude,RUS,CHN,37343412224.0
crude,RUS,EU,48721087702.0
crude,RUS,ROW,18815821088.0
crude,RUS,GBR,978619840.0
fertilizer,RUS,USA,820761605.0
fertilizer,RUS,CAN,230054918.0
fertilizer,RUS,MEX,256861878.0
fertilizer,RUS,BRA,2362720290.0
fertilizer,RUS,IND,469938391.0
fertilizer,RUS,CHN,145241734.0
fertilizer,RUS,EU,2869497010.0
fertilizer,RUS,ROW,3576679937.0
fertilizer,RUS,GBR,83627599.0
gas,RUS,USA,0.0
gas,RUS,CAN,0.0
gas,RUS,MEX,0.0
gas,RUS,BRA,0.0
gas,RUS,IND,29886943.0
gas,RUS,CHN,2925920604.0
gas,RUS,EU,23912509586.0
gas,RUS,ROW,6362459233.0
gas,RUS,GBR,637108584.0
iron/steel,RUS,USA,2078178061.0
iron/steel,RUS,CAN,151843001.0
iron/steel,RUS,MEX,1771374699.0
iron/steel,RUS,BRA,403869929.0
iron/steel,RUS,IND,278695234.0
iron/steel,RUS,CHN,1243734761.0
iron/steel,RUS,EU,9974764320.0
iron/steel,RUS,ROW,16594263171.0
iron/steel,RUS,GBR,166410779.0
refined,RUS,USA,9823510528.0
refined,RUS,CAN,138545856.0
refined,RUS,MEX,7434323.0
refined,RUS,BRA,570758976.0
refined,RUS,IND,904014592.0
refined,RUS,CHN,2542852864.0
refined,RUS,EU,29175480505.0
refined,RUS,ROW,19894747790.0
refined,RUS,GBR,1532133376.0
alumninum,USA,CAN,2619349574.0
alumninum,USA,MEX,3246615367.0
alumninum,USA,BRA,49883562.0
alumninum,USA,IND,40342276.0
alumninum,USA,CHN,232290403.0
alumninum,USA,RUS,9185695.0
alumninum,USA,EU,484555127.0
alumninum,USA,ROW,1140909519.0
alumninum,USA,GBR,145406936.0
chemicals,USA,CAN,4256610.0
chemicals,USA,MEX,4001164.0
chemicals,USA,BRA,4750.0
chemicals,USA,IND,3443.0
chemicals,USA,CHN,56588.0
chemicals,USA,RUS,0.0
chemicals,USA,EU,43836.0
chemicals,USA,ROW,5495907.0
chemicals,USA,GBR,13217.0
crude,USA,CAN,7580508672.0
crude,USA,MEX,0.0
crude,USA,BRA,1207039360.0
crude,USA,IND,9767676928.0
crude,USA,CHN,5725428224.0
crude,USA,RUS,1034.0
crude,USA,EU,18574412228.0
crude,USA,ROW,20786032477.0
crude,USA,GBR,5431724544.0
fertilizer,USA,CAN,1415119235.0
fertilizer,USA,MEX,256291543.0
fertilizer,USA,BRA,741614087.0
fertilizer,USA,IND,1326804.0
fertilizer,USA,CHN,13111791.0
fertilizer,USA,RUS,402912.0
fertilizer,USA,EU,77039216.0
fertilizer,USA,ROW,729201125.0
fertilizer,USA,GBR,19897459.0
gas,USA,CAN,2399905447.0
gas,USA,MEX,14068927404.0
gas,USA,BRA,3508181313.0
gas,USA,IND,1888971948.0
gas,USA,CHN,8132282312.0
gas,USA,RUS,39024.0
gas,USA,EU,9554920493.0
gas,USA,ROW,31793108255.0
gas,USA,GBR,1557346051.0
iron/steel,USA,CAN,9698170460.0
iron/steel,USA,MEX,9698875887.0
iron/steel,USA,BRA,381809767.0
iron/steel,USA,IND,235975794.0
iron/steel,USA,CHN,1018606771.0
iron/steel,USA,RUS,78926780.0
iron/steel,USA,EU,2317535479.0
iron/steel,USA,ROW,4353950490.0
iron/steel,USA,GBR,449875792.0
refined,USA,CAN,10288994304.0
refined,USA,MEX,25959950336.0
refined,USA,BRA,7839345152.0
refined,USA,IND,199379760.0
refined,USA,CHN,106918472.0
refined,USA,RUS,15949419.0
refined,USA,EU,4270739737.0
refined,USA,ROW,32706505238.0
refined,USA,GBR,771649536.0
